=== MeshGhost Crystal/AP scroll-offset watch (READ-ONLY) ===
PHASE 1 (20s): walk LEFT and RIGHT.

phase  x   y  | 114C  114D  114E  114F  1150  1151  1152  1153  1154  1155  1156  1157  1158  1159
1        4   8 |    0     1    24     5     1    24     4   246    48     2     0    32     3    66 || 1439=2 0FB1=2
1        4   8 |    0     1    24     5     1    24     4   244    48     2     0    32     3    66 || 1439=2 0FB1=2
1        4   8 |    0     1    24     5     1    24     4   242    48     2     0    32     3    66 || 1439=2 0FB1=2
1        5   8 |    0     1    24     5     1    24     4   240    48     2     0    96     3    66 || 1439=2 0FB1=2
1        5   8 |    0     1    24     5     1    24     4   240    48     2     0   160     3    68 || 1439=2 0FB1=2
1        5   8 |    0     1    24     5     1    24     4   236    48     2     0    32     3    68 || 1439=2 0FB1=2
1        5   8 |    0     1    24     5     1    24     4   234    48     2     0    32     3    68 || 1439=2 0FB1=2
1        5   8 |    0     1    24     5     1    24     4   232    48     2     0    32     3    68 || 1439=2 0FB1=2
1        5   8 |    0     1    24     5     1    24     4   230    48     2     0    32     3    68 || 1439=2 0FB1=2
1        5   8 |    0     1    24     5     1    24     4   228    48     2     0    32     3    68 || 1439=2 0FB1=2
1        5   8 |    0     1    24     5     1    24     4   226    48     2     0    32     3    68 || 1439=2 0FB1=2
1        6   8 |    0     1    24     5     1    24     4   224    48     2     0    96     3    68 || 1439=2 0FB1=2
1        6   8 |    0     1    24     5     1    24     4   224    48     2     0   160     3    70 || 1439=2 0FB1=2
1        6   8 |    0     1    24     5     1    24     4   220    48     2     0    32     3    70 || 1439=2 0FB1=2
1        6   8 |    0     1    24     5     1    24     4   218    48     2     0    32     3    70 || 1439=2 0FB1=2
1        6   8 |    0     1    24     5     1    24     4   216    48     2     0    32     3    70 || 1439=2 0FB1=2
1        6   8 |    0     1    24     5     1    24     4   214    48     2     0    32     3    70 || 1439=2 0FB1=2
1        6   8 |    0     1    24     5     1    24     4   212    48     2     0    32     3    70 || 1439=2 0FB1=2
1        6   8 |    0     1    24     5     1    24     4   210    48     2     0    32     3    70 || 1439=2 0FB1=2
1        7   8 |    0     1    24     5     1    24     4   208    48     2     0    96     3    70 || 1439=2 0FB1=2
1        7   8 |    0     1    24     5     1    24     4   208    48     2     0   160     3    72 || 1439=2 0FB1=2
1        7   8 |    0     1    24     5     1    24     4   204    48     2     0    32     3    72 || 1439=2 0FB1=2
1        7   8 |    0     1    24     5     1    24     4   202    48     2     0    32     3    72 || 1439=2 0FB1=2
1        7   8 |    0     1    24     5     1    24     4   200    48     2     0    32     3    72 || 1439=2 0FB1=2
1        7   8 |    0     1    24     5     1    24     4   198    48     2     0    32     3    72 || 1439=2 0FB1=2
1        7   8 |    0     1    24     5     1    24     4   196    48     2     0    32     3    72 || 1439=2 0FB1=2
1        7   8 |    0     1    24     5     1    24     4   194    48     2     0    32     3    72 || 1439=2 0FB1=2
1        8   8 |    0     1    24     5     1    24     4   192    48     2     0    96     3    72 || 1439=2 0FB1=2
1        8   8 |    0     1    24     5     1    24     4   192    48   254     0   160     2    70 || 1439=2 0FB1=2
1        8   8 |    0     1    24     5     1    24     4   196    48   254     0    32     2    70 || 1439=2 0FB1=2
1        8   8 |    0     1    24     5     1    24     4   198    48   254     0    32     2    70 || 1439=2 0FB1=2
1        8   8 |    0     1    24     5     1    24     4   200    48   254     0    32     2    70 || 1439=2 0FB1=2
1        8   8 |    0     1    24     5     1    24     4   202    48   254     0    32     2    70 || 1439=2 0FB1=2
1        8   8 |    0     1    24     5     1    24     4   204    48   254     0    32     2    70 || 1439=2 0FB1=2
1        8   8 |    0     1    24     5     1    24     4   206    48   254     0    32     2    70 || 1439=2 0FB1=2
1        7   8 |    0     1    24     5     1    24     4   208    48   254     0    96     2    70 || 1439=2 0FB1=2
1        7   8 |    0     1    24     5     1    24     4   208    48   254     0   160     2    68 || 1439=2 0FB1=2
1        7   8 |    0     1    24     5     1    24     4   212    48   254     0    32     2    68 || 1439=2 0FB1=2
1        7   8 |    0     1    24     5     1    24     4   214    48   254     0    32     2    68 || 1439=2 0FB1=2
1        7   8 |    0     1    24     5     1    24     4   216    48   254     0    32     2    68 || 1439=2 0FB1=2
1        7   8 |    0     1    24     5     1    24     4   218    48   254     0    32     2    68 || 1439=2 0FB1=2
1        7   8 |    0     1    24     5     1    24     4   220    48   254     0    32     2    68 || 1439=2 0FB1=2
1        7   8 |    0     1    24     5     1    24     4   222    48   254     0    32     2    68 || 1439=2 0FB1=2
1        6   8 |    0     1    24     5     1    24     4   224    48   254     0    96     2    68 || 1439=2 0FB1=2
1        6   8 |    0     1    24     5     1    24     4   224    48   254     0   160     2    66 || 1439=2 0FB1=2
1        6   8 |    0     1    24     5     1    24     4   228    48   254     0    32     2    66 || 1439=2 0FB1=2
1        6   8 |    0     1    24     5     1    24     4   230    48   254     0    32     2    66 || 1439=2 0FB1=2
1        6   8 |    0     1    24     5     1    24     4   232    48   254     0    32     2    66 || 1439=2 0FB1=2
1        6   8 |    0     1    24     5     1    24     4   234    48   254     0    32     2    66 || 1439=2 0FB1=2
1        6   8 |    0     1    24     5     1    24     4   236    48   254     0    32     2    66 || 1439=2 0FB1=2
1        6   8 |    0     1    24     5     1    24     4   238    48   254     0    32     2    66 || 1439=2 0FB1=2
1        5   8 |    0     1    24     5     1    24     4   240    48   254     0    96     2    66 || 1439=2 0FB1=2
1        5   8 |    0     1    24     5     1    24     4   240    48   254     0   160     2    64 || 1439=2 0FB1=2
1        5   8 |    0     1    24     5     1    24     4   244    48   254     0    32     2    64 || 1439=2 0FB1=2
1        5   8 |    0     1    24     5     1    24     4   246    48   254     0    32     2    64 || 1439=2 0FB1=2
1        5   8 |    0     1    24     5     1    24     4   248    48   254     0    32     2    64 || 1439=2 0FB1=2
1        5   8 |    0     1    24     5     1    24     4   250    48   254     0    32     2    64 || 1439=2 0FB1=2
1        5   8 |    0     1    24     5     1    24     4   252    48   254     0    32     2    64 || 1439=2 0FB1=2
1        5   8 |    0     1    24     5     1    24     4   254    48   254     0    32     2    64 || 1439=2 0FB1=2
1        4   8 |    0     1    24     5     1    24     4     0    48   254     0    96     2    64 || 1439=2 0FB1=2
